source_csv,case,and_count,lev_count,runtime_sec,extra_peak_rss_mb,and_count_rank,lev_count_rank,runtime_sec_rank,extra_peak_rss_mb_rank,and_count_score,lev_count_score,runtime_sec_score,extra_peak_rss_mb_score,case_weighted_score
6-19-jj.csv,tc_public_1,97,9,0.301198,7.469,2,5,7,11,9,6,5,5,7.2
6-19.csv,tc_public_1,97,9,0.301567,7.461,2,5,9,10,9,6,5,5,7.2
9zhistar.csv,tc_public_1,107,9,0.764666,21.82,8,5,13,12,5,6,5,5,5.2
if-area-a.csv,tc_public_1,107,10,0.301604,5.066,8,12,10,6,5,5,5,5,5
if-area.csv,tc_public_1,112,8,0.251305,5.059,11,1,5,5,5,10,6,6,6.3
if.csv,tc_public_1,106,8,0.101086,4.168,7,1,2,2,5,10,9,9,7.2
if_sop_fx.csv,tc_public_1,107,8,0.10093,24.031,8,1,1,13,5,10,10,5,7
ifn.csv,tc_public_1,98,9,0.401546,5.043,5,5,12,4,6,6,5,7,5.9
rh-sopfx-if-a.csv,tc_public_1,94,8,0.301248,6.949,1,1,8,9,10,10,5,5,8.5
sopfx.csv,tc_public_1,97,9,0.316047,6.387,2,5,11,8,9,6,5,5,7.2
syn-R.csv,tc_public_1,102,9,0.251497,5.07,6,5,6,7,5,6,5,5,5.2
test.csv,tc_public_1,207,13,0.101186,0.098,13,13,3,1,5,5,8,10,6.1
test1.csv,tc_public_1,132,9,0.201482,4.547,12,5,4,3,5,6,7,8,5.9
6-19-jj.csv,tc_public_10,161,4,0.20122,5.281,2,1,9,9,9,10,5,5,8
6-19.csv,tc_public_10,161,4,0.201428,5.277,2,1,10,8,9,10,5,5,8
9zhistar.csv,tc_public_10,161,4,0.309034,21.254,2,1,12,12,9,10,5,5,8
if-area-a.csv,tc_public_10,161,4,0.151332,4.809,2,1,7,7,9,10,5,5,8
if-area.csv,tc_public_10,161,4,0.150972,4.293,2,1,5,4,9,10,6,7,8.4
if.csv,tc_public_10,161,4,0.100873,1.41,2,1,2,2,9,10,9,9,9.2
if_sop_fx.csv,tc_public_10,132,5,0.101,21.266,1,12,3,13,10,5,8,5,8.1
ifn.csv,tc_public_10,161,4,0.251397,4.297,2,1,11,5,9,10,5,6,8.1
rh-sopfx-if-a.csv,tc_public_10,161,4,0.201142,5.535,2,1,8,11,9,10,5,5,8
sopfx.csv,tc_public_10,161,4,0.32121,4.711,2,1,13,6,9,10,5,5,8
syn-R.csv,tc_public_10,161,4,0.151269,5.328,2,1,6,10,9,10,5,5,8
test.csv,tc_public_10,192,5,0.051188,0.098,13,12,1,1,5,5,10,10,6.5
test1.csv,tc_public_10,161,4,0.101146,4.031,2,1,4,3,9,10,7,8,8.7
6-19-jj.csv,tc_public_11,328,7,0.401629,7.695,1,2,4,11,10,9,7,5,8.7
6-19.csv,tc_public_11,328,7,0.401634,7.691,1,2,5,10,10,9,6,5,8.5
9zhistar.csv,tc_public_11,328,8,0.915617,22.176,1,13,12,12,10,5,5,5,7.5
if-area-a.csv,tc_public_11,592,7,0.401702,5.395,6,2,6,6,5,9,5,5,5.8
if-area.csv,tc_public_11,592,7,0.702589,3.836,6,2,11,2,5,9,5,9,6.2
if.csv,tc_public_11,592,7,0.15075,4.492,6,2,2,3,5,9,9,8,6.9
if_sop_fx.csv,tc_public_11,594,7,0.200944,22.617,11,2,3,13,5,9,8,5,6.4
ifn.csv,tc_public_11,592,7,1.45406,5.395,6,2,13,6,5,9,5,5,5.8
rh-sopfx-if-a.csv,tc_public_11,328,7,0.451872,7.43,1,2,8,9,10,9,5,5,8.3
sopfx.csv,tc_public_11,328,7,0.668067,6.871,1,2,10,8,10,9,5,5,8.3
syn-R.csv,tc_public_11,694,7,0.501996,5.141,12,2,9,5,5,9,5,6,5.9
test.csv,tc_public_11,1064,6,0.050975,0.098,13,1,1,1,5,10,10,10,7.5
test1.csv,tc_public_11,592,7,0.4018,4.863,6,2,7,4,5,9,5,7,6
6-19-jj.csv,tc_public_12,1365,12,1.904831,9.676,1,3,9,9,10,8,5,5,8.1
6-19.csv,tc_public_12,1365,12,1.954476,9.676,1,3,10,9,10,8,5,5,8.1
9zhistar.csv,tc_public_12,1447,12,3.321345,23.242,5,3,12,12,6,8,5,5,6.1
if-area-a.csv,tc_public_12,1482,12,1.40376,6.562,8,3,5,6,5,8,6,5,5.8
if-area.csv,tc_public_12,1509,11,1.554019,5.781,11,1,7,3,5,10,5,8,6.3
if.csv,tc_public_12,1473,13,0.300995,5.914,6,11,3,4,5,5,8,7,5.8
if_sop_fx.csv,tc_public_12,1484,15,0.300913,24.043,10,12,2,13,5,5,9,5,5.8
ifn.csv,tc_public_12,1518,11,3.508149,6.418,12,1,13,5,5,10,5,6,6.1
rh-sopfx-if-a.csv,tc_public_12,1365,12,1.854612,10.184,1,3,8,11,10,8,5,5,8.1
sopfx.csv,tc_public_12,1365,12,2.071816,9.105,1,3,11,8,10,8,5,5,8.1
syn-R.csv,tc_public_12,1474,12,1.404032,6.82,7,3,6,7,5,8,5,5,5.6
test.csv,tc_public_12,1482,15,0.050634,0.098,8,12,1,1,5,5,10,10,6.5
test1.csv,tc_public_12,1644,12,0.702505,4.75,13,3,4,2,5,8,7,9,6.4
6-19-jj.csv,tc_public_13,1035,14,1.854236,8.68,1,8,10,10,10,5,5,5,7.5
6-19.csv,tc_public_13,1035,14,1.804163,8.672,1,8,9,9,10,5,5,5,7.5
9zhistar.csv,tc_public_13,1042,13,3.726306,23.23,5,7,12,13,6,5,5,5,5.5
if-area-a.csv,tc_public_13,1044,12,1.704369,6.434,7,1,8,7,5,10,5,5,6
if-area.csv,tc_public_13,1059,12,1.403441,5.656,9,1,6,4,5,10,5,7,6.2
if.csv,tc_public_13,1074,12,0.250897,5.02,11,1,2,2,5,10,9,9,7.2
if_sop_fx.csv,tc_public_13,1185,14,0.351142,23.145,12,8,3,12,5,5,8,5,5.6
ifn.csv,tc_public_13,1059,12,3.908542,5.891,9,1,13,5,5,10,5,6,6.1
rh-sopfx-if-a.csv,tc_public_13,1035,14,2.104906,9.191,1,8,11,11,10,5,5,5,7.5
sopfx.csv,tc_public_13,1035,14,1.435313,8.566,1,8,7,8,10,5,5,5,7.5
syn-R.csv,tc_public_13,1042,12,1.103288,6.18,5,1,5,6,6,10,6,5,6.7
test.csv,tc_public_13,1284,17,0.100836,0.098,13,13,1,1,5,5,10,10,6.5
test1.csv,tc_public_13,1046,12,0.602149,5.395,8,1,4,3,5,10,7,8,6.7
6-19-jj.csv,tc_public_14,2201,15,7.965959,16.926,2,5,6,9,9,6,5,5,7.2
6-19.csv,tc_public_14,2201,15,8.165418,16.922,2,5,7,8,9,6,5,5,7.2
9zhistar.csv,tc_public_14,2045,15,17.082391,24.91,1,5,12,12,10,6,5,5,7.7
