case,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,107,10,0.301604,5.066
tc_public_2,19,4,0.151310,4.293
tc_public_3,119,9,0.251375,5.066
tc_public_4,70,7,0.201418,4.930
tc_public_5,65,2,0.101108,4.559
tc_public_6,162,4,0.251426,5.512
tc_public_7,252,3,0.201420,5.898
tc_public_8,193,3,0.151145,4.449
tc_public_9,224,5,0.151018,4.957
tc_public_10,161,4,0.151332,4.809
tc_public_11,592,7,0.401702,5.395
tc_public_12,1482,12,1.403760,6.562
tc_public_13,1044,12,1.704369,6.434
tc_public_14,2275,13,9.320599,7.867
tc_public_15,916,9,1.155012,6.031
tc_public_16,45,6,0.151197,4.367
tc_public_17,93,6,0.151326,4.109
tc_public_18,414,12,1.403610,4.676
tc_public_19,3423,18,10.029997,6.633
tc_public_20,3543,18,13.933569,6.828
tc_public_21,3540,18,10.569836,7.070
tc_public_22,7224,20,27.208067,10.930
tc_public_23,1244,13,1.604143,6.414
tc_public_24,256,7,0.351334,4.879
tc_public_25,26,4,0.151126,4.316
tc_public_26,537,9,1.053145,5.941
tc_public_27,420,7,0.502050,5.207
tc_public_28,458,8,0.852586,5.387
tc_public_29,113,5,0.201419,5.031
tc_public_30,6265,17,23.347384,25.207

# FLOW_BEGIN
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# aigstore -i 0
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# aigstore -i 1
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# aigrestore -a
# ps
# FLOW_END
