case,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,106,8,0.101086,4.168
tc_public_2,19,4,0.100992,3.391
tc_public_3,130,8,0.100959,4.164
tc_public_4,102,9,0.100863,4.035
tc_public_5,65,2,0.100704,1.586
tc_public_6,162,4,0.100663,3.840
tc_public_7,252,3,0.100754,2.672
tc_public_8,193,3,0.100856,1.191
tc_public_9,224,5,0.101144,3.543
tc_public_10,161,4,0.100873,1.410
tc_public_11,592,7,0.150750,4.492
tc_public_12,1473,13,0.300995,5.914
tc_public_13,1074,12,0.250897,5.020
tc_public_14,2527,19,2.805030,5.348
tc_public_15,969,9,0.251218,4.355
tc_public_16,45,6,0.101009,3.461
tc_public_17,93,6,0.161499,3.461
tc_public_18,429,12,0.417724,3.512
tc_public_19,3981,18,3.739340,5.270
tc_public_20,4098,18,3.624250,4.156
tc_public_21,4089,18,4.923281,6.086
tc_public_22,8409,20,7.661124,8.707
tc_public_23,1299,13,0.509316,3.262
tc_public_24,251,7,0.118325,1.738
tc_public_25,27,4,0.119362,1.172
tc_public_26,761,9,0.520056,2.516
tc_public_27,408,7,0.258935,1.750
tc_public_28,604,7,0.211497,1.734
tc_public_29,120,5,0.176995,1.887
tc_public_30,6579,16,8.133796,24.648

# FLOW_BEGIN
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if; &put;; strash; ps
# FLOW_END
