casename,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,97,9,0.251328,26.754
tc_public_2,19,4,0.151147,26.422
tc_public_3,96,10,0.251241,26.820
tc_public_4,62,10,0.251292,26.555
tc_public_5,65,2,0.201221,23.523
tc_public_6,162,4,0.251342,27.320
tc_public_7,191,3,0.251608,24.910
tc_public_8,192,4,0.251289,24.664
tc_public_9,194,4,0.251510,25.008
tc_public_10,132,5,0.201443,24.820
tc_public_11,328,7,0.351482,27.492
tc_public_12,1365,12,1.303631,29.215
tc_public_13,1028,15,1.203333,28.738
tc_public_14,2185,19,5.511650,33.496
tc_public_15,887,12,0.952692,27.910
tc_public_16,45,6,0.201179,23.668
tc_public_17,93,6,0.251455,23.930
tc_public_18,414,12,1.403527,24.652
tc_public_19,3678,18,13.928479,32.547
tc_public_20,3912,18,14.884229,32.988
tc_public_21,3984,18,15.082728,33.777
tc_public_22,8904,20,30.111060,47.098
tc_public_23,1323,14,1.403876,28.625
tc_public_24,215,8,0.351491,26.840
tc_public_25,26,4,0.201514,23.859
tc_public_26,729,11,0.952961,27.387
tc_public_27,376,7,0.501787,26.824
tc_public_28,471,10,0.551845,26.887
tc_public_29,109,7,0.251494,26.441
tc_public_30,3846,21,9.670353,40.562
