casename,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,97,9,0.151320,1.320
tc_public_2,18,4,0.151019,1.234
tc_public_3,101,8,0.201483,1.375
tc_public_4,64,7,0.151174,1.375
tc_public_5,65,2,0.151143,1.172
tc_public_6,162,4,0.201375,1.867
tc_public_7,252,3,0.201526,0.492
tc_public_8,192,4,0.201389,1.539
tc_public_9,194,4,0.151194,1.359
tc_public_10,161,4,0.151047,1.699
tc_public_11,328,7,0.251422,2.824
tc_public_12,1360,12,0.752511,3.574
tc_public_13,1040,14,0.602169,3.047
tc_public_14,2511,23,2.856677,14.773
tc_public_15,919,10,0.501999,2.453
tc_public_16,45,6,0.151057,1.055
tc_public_17,93,6,0.151206,1.066
tc_public_18,465,16,0.852649,2.227
tc_public_19,5112,32,9.619713,20.102
tc_public_20,5325,32,10.271808,21.375
tc_public_21,5334,38,8.868607,20.609
tc_public_22,10485,42,18.538538,39.902
tc_public_23,1331,12,0.652376,3.398
tc_public_24,215,8,0.201478,1.391
tc_public_25,26,4,0.150908,1.254
tc_public_26,1034,10,0.451924,2.180
tc_public_27,376,7,0.251445,1.379
tc_public_28,520,7,0.301706,1.699
tc_public_29,109,7,0.151255,1.262
tc_public_30,3639,20,4.760404,27.691
