casename,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,107,9,0.401832,22.699
tc_public_2,19,5,0.201471,22.312
tc_public_3,116,9,0.401605,22.754
tc_public_4,82,8,0.351303,22.578
tc_public_5,65,2,0.251479,21.520
tc_public_6,162,4,0.351614,22.777
tc_public_7,252,3,0.301509,22.496
tc_public_8,192,4,0.351752,21.781
tc_public_9,194,4,0.351623,22.129
tc_public_10,161,4,0.301437,22.031
tc_public_11,328,8,0.601971,22.953
tc_public_12,1447,12,2.255126,24.023
tc_public_13,1042,13,2.455587,23.785
tc_public_14,2045,15,9.270022,25.613
tc_public_15,794,10,1.605567,22.977
tc_public_16,45,6,0.251368,21.402
tc_public_17,93,6,0.301487,21.398
tc_public_18,432,12,2.756450,21.484
tc_public_19,3912,18,32.064477,25.906
tc_public_20,3984,18,33.318057,26.152
tc_public_21,4167,18,32.916282,25.980
tc_public_22,9231,20,67.085351,29.590
tc_public_23,1350,14,2.556323,23.461
tc_public_24,215,8,0.552116,22.566
tc_public_25,26,5,0.251307,21.680
tc_public_26,672,9,1.505119,22.586
tc_public_27,422,8,0.852661,22.703
tc_public_28,384,7,0.702524,23.016
tc_public_29,109,7,0.301441,22.480
tc_public_30,5454,19,31.264296,32.133
